VRF: default
Address         Age (sec)  Hardware Addr   Interface
10.0.0.1          0:00:03  985d.82c1.6b03  Ethernet33
172.16.0.1        0:01:48  985d.82b4.ccf5  Vlan10, Ethernet28/1
172.16.0.2              -  444c.a88d.27c1  Vlan10, Vxlan1
172.16.0.3        1:51:30  985d.82b4.ca61  Vlan10, Ethernet27/1
10.83.28.1        0:00:00  001b.1700.2011  Management1
10.83.28.52       0:04:31  0011.326e.e2f0  Management1
10.83.28.54       0:02:13  0050.5686.805a  Management1
10.83.31.214      0:01:43  001b.1700.2011  Management1
